ID,Name,Subtitle,Kind,Group,Status,TerminalBasis,Notes,Sources
PPL,프리차지 L,저항 + 정상운전 바이패스,precharge,power,hold,기능 포트. 실물 모델·핀순서 확인,독립 완성 모듈/전장 조립체 기능 인터페이스. K1/K2 하류에만 배치. 저항 에너지·바이패스 고착·완료 확인·전원 소실 동작·회생 호환을 검증. 모터 허가는 프리차지 완료 후. 실모델·내부 회로/제어 미확정이므로 통전 보류.,S1
MDL,XRY IBT-2 L 드라이버,BTS7960B × 2 · SN74HC244 · PWM/EN,driver,drive,hold,B+/B-/M+/M- 순서는 불명: 보드 실크 및 도통으로 대조. 신호 2×4는 VCC/R_IS/R_EN/RPWM 및 GND/L_IS/L_EN/LPWM 사진 방향 기준; 숫자 핀 매핑이 아님.,"D3 UART 드라이버가 아닙니다. RPWM/LPWM과 R_EN/L_EN에 5V 논리 버퍼 출력을 연결합니다. 모터 전원B+는 최대27V, VCC는5V. 8S LiFePO4 29.2V 직결 금지. 43A는 연속 정격이 아니며 PCB/단자/방열 실측 필요. B+/B-/M+/M-의 물리 순서는 사진으로 확정할 수 없어 슬롯 번호를 부여하지 않았습니다.","첨부 부품상세사양 §7, p.12-14"
CLL,DC 링크 흡수기 L,능동 클램프 + 제동저항,clamp,drive,hold,기능 포트. 실물 모델·핀순서 확인,각 드라이버의 동일 VIN/GND에 짧게 병렬. 퓨즈/접촉기/프리차지 상류에만 달면 단절 시 보호하지 못한다. BMS 충전 거부·완충·퓨즈 단선 후에도 로컬 링크 에너지를 흡수해야 한다. 임계전압·오버슈트·저항 J/W·온도차단 미확정. TVS 단독으로 대체 불가.,S1 | R2
RBL,링크 잔류전압 방전 L,저항 / 측정점,resistor,drive,hold,기능 포트. 실물 모델·핀순서 확인,"정격은 C와 방전시간에서 계산. t=R*C*ln(V0/Vsafe), 정상손실 P=V²/R. 부품 내장 여부 확인 후 중복 제외. 방전 완료는 측정으로 확인.",S1
ML,MY1016Z L 감속모터,24V · 250W · 120rpm 무부하 · Ø17 긴 축,motor,drive,hold,기능 포트. 실물 모델·핀순서 확인,"사진의 0.64~0.98N·m는 감속 전 모터축 값으로 해석되는 판매 표기입니다. 출력축 토크가 아닙니다. 120rpm은 무부하 속도, 13.4A는 정격전류이며 스톨이 아닙니다. 축 길이44/45mm 불일치. 본체 형상과 기어케이스는 사진 기반이며 미판독 치수는 가공에 사용하지 않습니다.","첨부 부품상세사양 §2, p.2-5"
CML,모터 노이즈 억제 L,A-B 간 비극성 커패시터,capacitor,drive,review,기능 포트. 실물 모델·핀순서 확인,제조사가 허용하는 경우 모터 단자 바로 옆 비극성 0.1µF 검토. 전압·펄스 정격 확인. 전해 커패시터나 단방향 다이오드를 가역 모터 A/B에 임의 병렬하지 않는다.,S1
F2,R 구동 분기 퓨즈,드라이버 입력 보호,fuse,power,hold,기능 포트. 실물 모델·핀순서 확인,정격 A 미확정. SMC G2 포함 단자대의 제조사 안내가 15/16A로 달라 최대 15A 측으로 보수 검토. 25A 퓨즈를 해당 단자대에 무조건 적용 금지. 모터 전류 제한은 별도로 설정.,S1 | R2
PPR,프리차지 R,저항 + 정상운전 바이패스,precharge,power,hold,기능 포트. 실물 모델·핀순서 확인,독립 완성 모듈/전장 조립체 기능 인터페이스. K1/K2 하류에만 배치. 저항 에너지·바이패스 고착·완료 확인·전원 소실 동작·회생 호환을 검증. 모터 허가는 프리차지 완료 후. 실모델·내부 회로/제어 미확정이므로 통전 보류.,S1
MDR,XRY IBT-2 R 드라이버,BTS7960B × 2 · SN74HC244 · PWM/EN,driver,drive,hold,B+/B-/M+/M- 순서는 불명: 보드 실크 및 도통으로 대조. 신호 2×4는 VCC/R_IS/R_EN/RPWM 및 GND/L_IS/L_EN/LPWM 사진 방향 기준; 숫자 핀 매핑이 아님.,"D3 UART 드라이버가 아닙니다. RPWM/LPWM과 R_EN/L_EN에 5V 논리 버퍼 출력을 연결합니다. 모터 전원B+는 최대27V, VCC는5V. 8S LiFePO4 29.2V 직결 금지. 43A는 연속 정격이 아니며 PCB/단자/방열 실측 필요. B+/B-/M+/M-의 물리 순서는 사진으로 확정할 수 없어 슬롯 번호를 부여하지 않았습니다.","첨부 부품상세사양 §7, p.12-14"
CLR,DC 링크 흡수기 R,능동 클램프 + 제동저항,clamp,drive,hold,기능 포트. 실물 모델·핀순서 확인,각 드라이버의 동일 VIN/GND에 짧게 병렬. 퓨즈/접촉기/프리차지 상류에만 달면 단절 시 보호하지 못한다. BMS 충전 거부·완충·퓨즈 단선 후에도 로컬 링크 에너지를 흡수해야 한다. 임계전압·오버슈트·저항 J/W·온도차단 미확정. TVS 단독으로 대체 불가.,S1 | R2
RBR,링크 잔류전압 방전 R,저항 / 측정점,resistor,drive,hold,기능 포트. 실물 모델·핀순서 확인,"정격은 C와 방전시간에서 계산. t=R*C*ln(V0/Vsafe), 정상손실 P=V²/R. 부품 내장 여부 확인 후 중복 제외. 방전 완료는 측정으로 확인.",S1
MR,MY1016Z R 감속모터,24V · 250W · 120rpm 무부하 · Ø17 긴 축,motor,drive,hold,기능 포트. 실물 모델·핀순서 확인,"사진의 0.64~0.98N·m는 감속 전 모터축 값으로 해석되는 판매 표기입니다. 출력축 토크가 아닙니다. 120rpm은 무부하 속도, 13.4A는 정격전류이며 스톨이 아닙니다. 축 길이44/45mm 불일치. 본체 형상과 기어케이스는 사진 기반이며 미판독 치수는 가공에 사용하지 않습니다.","첨부 부품상세사양 §2, p.2-5"
CMR,모터 노이즈 억제 R,A-B 간 비극성 커패시터,capacitor,drive,review,기능 포트. 실물 모델·핀순서 확인,제조사가 허용하는 경우 모터 단자 바로 옆 비극성 0.1µF 검토. 전압·펄스 정격 확인. 전해 커패시터나 단방향 다이오드를 가역 모터 A/B에 임의 병렬하지 않는다.,S1
F3,안전전원 입력 퓨즈,배터리 버스 분기,fuse,power,hold,기능 포트. 실물 모델·핀순서 확인,DC1 입력 배선과 기동전류에 따라 정격 확정.,R2
DC1,안전전원 DC-DC,18~60V 입력 목표 → 24V,converter,safety,hold,기능 포트. 실물 모델·핀순서 확인,"B1의 12V/20A 서보·코일 전원과 다름. D2는 24V 안전릴레이/코일용 정전압 buck-boost로 교체 제안. 실제 연속 출력, 입력 최저/최고, OVP 및 두 코일 동시 투입/탈락 조건을 확인. 24V 배터리를 직접 24V 릴레이에 넣지 않는다.",R2 | S8
F9,안전전원 출력 퓨즈,SR1 + 코일 전원,fuse,safety,hold,기능 포트. 실물 모델·핀순서 확인,SR1 및 코일 합산 입력·배선에 맞춰 정격 결정.,R2
SR1,이중 채널 안전릴레이,교차단락 감시 / EDM / 수동 리셋,safety,safety,hold,기능 포트. 실물 모델·핀순서 확인,완성 안전릴레이 기능 인터페이스이며 실물 핀맵이 아님. 두 NC 채널·단락 감시·리셋 에지 감시·EDM을 지원하는 정확한 모델과 제조사 결선도 확정 필요. 임의 타이머/일반 릴레이로 대체 금지. 이 도면 자체는 PL/SIL 인증이 아니다.,S8 | S9
S1,비상정지,직접 개방 동작 · NC 2접점,estop,safety,hold,기능 포트. 실물 모델·핀순서 확인,후면 손잡이 접근 위치. 비상정지 신호는 ESP32를 경유하지 않는다. 접점/배선의 물리적 독립성 및 단락 감시 시험. 해제만으로 구동 재인가하지 않는다. 접점 번호는 실물 확정 전 기능명.,S8
S2,수동 리셋,순간 NO / 리셋 에지 감시,button,safety,hold,기능 포트. 실물 모델·핀순서 확인,SR1의 감시형 수동 리셋에만 연결. 모터 속도 명령/운전 시작 버튼이 아님. 고정 눌림·용착 상태에서 자동 재기동하지 않는지 검증.,S8
F4,5V 컨버터 입력 퓨즈,배터리 버스 분기,fuse,power,hold,기능 포트. 실물 모델·핀순서 확인,DC2의 입력전류·기동 부하·배선 단면과 조정.,R2
DC2,제어전원 DC-DC,18~60V 입력 목표 → 5.0V / 10A,converter,compute,hold,기능 포트. 실물 모델·핀순서 확인,"5V/10A는 전원 용량 목표, 부하가 강제로 10A를 받는다는 뜻이 아님. 실제 지속 출력·열저감·과도 응답 확인. SBC/허브는 브레드보드 급전 금지.",R2
OV5,5V 독립 과전압 보호,차단형 OVP / 역전류 차단,protector,compute,hold,기능 포트. 실물 모델·핀순서 확인,배터리 완충 전압과 예상 과도전압을 견디고 컨버터 고장 입력을 차단하는 실부품 검증. 24V라는 공칭값만으로 고장 내압을 선정하지 않음. 트립 임계 최대값 + 과도 오버슈트가 연결 부하의 허용값 아래여야 한다. TVS/퓨즈만으로 5V 부품 보호를 승인하지 않는다. 일반 저전압 로드스위치 임의 대체 금지.,R2
F7,SBC 5V 분기 퓨즈,커넥터 전류·전압강하 검증,fuse,compute,hold,기능 포트. 실물 모델·핀순서 확인,출력 배선·SBC/허브 기동 부하를 기준으로 정격 산출. 5V 주전류를 듀퐁선으로 공급하지 않는다.,R2
F8,허브 5V 분기 퓨즈,커넥터 전류·전압강하 검증,fuse,compute,hold,기능 포트. 실물 모델·핀순서 확인,출력 배선·SBC/허브 기동 부하를 기준으로 정격 산출. 5V 주전류를 듀퐁선으로 공급하지 않는다.,R2
OP1,Orange Pi 4 Pro 6GB,Allwinner A733 · 89 × 56mm · 5V / 3A,board,compute,conditional,기능 포트. 실물 모델·핀순서 확인,"구형 Orange Pi 4가 아닌 A733 모델. 6GB는 요청 옵션이며 사진만으로 확인하지 않습니다. USB-C 5V/3A는 공급 규격이지 상시 전류가 아닙니다. 냉각장치와 커넥터 포함 높이는 미확정. 독립 5V 입력, 허브 업스트림 역급전 금지.","첨부 부품상세사양 §1, p.1"
H1,외부전원 USB 허브,4포트 / upstream 역급전 금지,hub,compute,hold,기능 포트. 실물 모델·핀순서 확인,"각 포트 전류 제한/기동 능력, upstream VBUS 역급전 차단 지원 제품. VBUS 선을 임의 절단하면 장치 감지가 안 될 수 있으므로 규격에 맞는 완성 허브 사용. D+/D-/GND/VBUS는 완성 케이블 내부 도체로 표시.",R2 | R3
U1,ESP32-WROOM-32U 38핀,CP2102 · 외장 안테나형 · USB 단일 급전,board,compute,hold,GPIO 기능명 기준. 구매한 WROOM-32U 38핀 보드 실크·회로·무전원 도통 확인. 공식 DevKitC V4의 J2/J3 번호를 납품품 핀 번호로 적용하지 않음. GND/CMD 충돌 위치는 NC.,사진 기준 WROOM-32U/CP2102. Type-C와 Micro-B 사진이 혼재하여 구매 USB 리비전은 미확정입니다. 3D는 사진2 Micro-B 외형을 사용한 렌더링 선택입니다. D3와5V 사이의 GND/CMD 충돌 핀은 연결하지 않습니다. 공식J2/J3번호 대신 GPIO 기능명과 실측 확인한GND만 사용합니다. 개발보드 전체 치수는 미제공; 28×52mm 렌더링 외피는 제안값입니다.,"첨부 부품상세사양 §6, p.9-11"
A1,C1 USB-UART 어댑터,C1 정품 / 460800 baud,adapter,sensor,review,기능 포트. 실물 모델·핀순서 확인,C1 전용 USB-UART 어댑터는 전장 트레이에 두고 전용 하네스를 전면 우측 기둥을 따라 센서로 보냅니다. 원래 키트의 핀 순서·커넥터·허용 연장 길이를 확인합니다. 일반 USB-TTL·Dupont·임의 Y케이블로 무검증 대체하지 않습니다. C1 기동대표 800mA에 맞춰 허브 포트·케이블·어댑터 전원 공급 능력을 시험합니다. 추가 독립 전원은 어댑터 제조사가 허용하는 구조로만 검토합니다.,R3 | S7
LD1,SLAMTEC RPLIDAR C1,C1M1-R2 · 55.6 × 55.6 × 41.3mm,lidar,sensor,conditional,기능 포트. 실물 모델·핀순서 확인,"프레임 전면 상단에 마스트 없이 장착. 센서단 전원 4.8~5.2V, 리플≤150mV를 기동 중에도 확인합니다. 정상최대260mA / 기동대표800mA이며 대표 기동값은 최대 보증이 아닙니다. 전용 어댑터 전류와 허브 포트 능력 별도. 하우징XH2.54-5P의 물리 핀 순서는 자료 원본 대조 전 임의 지정하지 않습니다.","첨부 부품상세사양 §5, p.8"
UWL,BU04 Kit 베이스 L,46 × 52mm · 거리 데이터 USB,uwb,sensor,conditional,기능 포트. 실물 모델·핀순서 확인,"Ai-Thinker BU04 Kit, 이중 안테나. bare 모듈과 구분. USB 거리 데이터 포트를 사용하고 AT/다운로드 포트와 혼동하지 않습니다. 금속 클램프는 안테나 영역 밖에 배치하고 실제 RF 간섭을 검증합니다. 제조사의 ≥500mA 공급능력 요구는 상시전류가 아닙니다.","첨부 부품상세사양 §3, p.6"
UWR,BU04 Kit 베이스 R,46 × 52mm · 거리 데이터 USB,uwb,sensor,conditional,기능 포트. 실물 모델·핀순서 확인,"Ai-Thinker BU04 Kit, 이중 안테나. bare 모듈과 구분. USB 거리 데이터 포트를 사용하고 AT/다운로드 포트와 혼동하지 않습니다. 금속 클램프는 안테나 영역 밖에 배치하고 실제 RF 간섭을 검증합니다. 제조사의 ≥500mA 공급능력 요구는 상시전류가 아닙니다.","첨부 부품상세사양 §3, p.6"
TAG,BU03 Kit 사용자 태그,35.56 × 55mm · 카트와 독립 전원,tag,sensor,conditional,기능 포트. 실물 모델·핀순서 확인,사용자 휴대 장치이며 카트 배선에 유선 연결하지 않습니다. BU04 두 베이스와 같은 채널/프로토콜/역할/ID의 펌웨어 호환성은 실험으로 확인합니다. 단일 안테나 BU03 하나가 독립 방위각을 보장하지 않습니다.,"첨부 부품상세사양 §4, p.7"
X3,센서 3.3V/0V 분배,잠금형 단자 / 벤치 BB 별도,terminal,signal,review,기능 포트. 실물 모델·핀순서 확인,3.3V와 0V는 내부적으로도 분리된 두 단자군이다. 한 덩어리로 공통 연결되는 버스바에 혼재시키지 않는다. 이동체 실장은 납땜/잠금 커넥터 하네스. 400접점 브레드보드는 무동력 신호시험에만. 브레드보드에 배터리전압·SBC 전류·모터·코일·5V 레일을 넣지 않는 D2 구성.,R2
IMU1,BNO085 자세 센서,Adafruit #4754 / SPI,imu,sensor,review,기능 포트. 실물 모델·핀순서 확인,VIN 3.3V. P0/P1 모두 HIGH로 SPI 선택. 3Vo와 BT는 NC. INT/RST 사용. 프레임 기준에 강체 고정; 브레드보드/움직이는 손잡이에 IMU를 고정하지 않는다.,S3 | D3 계승 부품 / 8종 첨부문서의 신규 확정 사양 아님
MUX1,ToF I²C 멀티플렉서,TCA9548A / 0x70,mux,sensor,review,기능 포트. 실물 모델·핀순서 확인,TCA9548A 브레이크아웃의 실제 실크 확인. A0/A1/A2=0V → 0x70. CH0·CH1 중 한 채널만 열어 0x29 ToF에 접근. 사용하지 않는 채널 NC. RESET 10kΩ 3.3V 풀업 및 GPIO33 연결. 호스트 SDA/SCL 풀업은 온보드 유무/합성값 확인 후 실장. 이 MUX는 장거리 버퍼나 절연기가 아니다. 실하네스의 용량·상승시간·EMI를 계측하고 부적합하면 센서 근처 로컬 제어 또는 검증된 전송 확장 구조로 재설계.,S5 | R3 | D3 계승 부품 / 8종 첨부문서의 신규 확정 사양 아님
TOF1,전방 ToF 1,Pololu #3415 / 0x29,tof,sensor,review,Pololu #3415 실크 이름. 커넥터 방향 실물 대조,전방(+Z)을 향하는 VL53L1X. CH0만 선택한 뒤 0x29 접근. VIN 3.3V / GND / SDA / SCL을 유지하며 전기적 핀 역할은 바뀌지 않는다. VDD·XSHUT·GPIO1은 NC. 광학창은 범퍼 앞쪽에 노출하되 충돌 보호 브래킷은 시야를 가리지 않는다. 이제 바닥 낙차 감지용이 아니므로 계단·절벽 감지 기능은 없다. 검출범위와 실외 성능은 실측 필요.,S4 | R3 | D3 계승 부품 / 8종 첨부문서의 신규 확정 사양 아님
TOF2,전방 ToF 2,Pololu #3415 / 0x29,tof,sensor,review,Pololu #3415 실크 이름. 커넥터 방향 실물 대조,전방(+Z)을 향하는 VL53L1X. CH1만 선택한 뒤 0x29 접근. VIN 3.3V / GND / SDA / SCL을 유지하며 전기적 핀 역할은 바뀌지 않는다. VDD·XSHUT·GPIO1은 NC. 광학창은 범퍼 앞쪽에 노출하되 충돌 보호 브래킷은 시야를 가리지 않는다. 이제 바닥 낙차 감지용이 아니므로 계단·절벽 감지 기능은 없다. 검출범위와 실외 성능은 실측 필요.,S4 | R3 | D3 계승 부품 / 8종 첨부문서의 신규 확정 사양 아님
RP_SDA,풀업 SDA,4.7kΩ 검토,resistor,signal,review,기능 포트. 실물 모델·핀순서 확인,온보드 저항과 병렬 합성값을 확인. 중복 실장 방지. GPIO34 내부 풀업에 의존하지 않는다. 파형 상승시간과 LOW 싱크전류 검증.,S3 | S5
RP_SCL,풀업 SCL,4.7kΩ 검토,resistor,signal,review,기능 포트. 실물 모델·핀순서 확인,온보드 저항과 병렬 합성값을 확인. 중복 실장 방지. GPIO34 내부 풀업에 의존하지 않는다. 파형 상승시간과 LOW 싱크전류 검증.,S3 | S5
RP_RST,풀업 MUX_RST,10kΩ,resistor,signal,review,기능 포트. 실물 모델·핀순서 확인,온보드 저항과 병렬 합성값을 확인. 중복 실장 방지. GPIO34 내부 풀업에 의존하지 않는다. 파형 상승시간과 LOW 싱크전류 검증.,S3 | S5
RP_INT,풀업 IMU_INT,10kΩ 검토,resistor,signal,review,기능 포트. 실물 모델·핀순서 확인,온보드 저항과 병렬 합성값을 확인. 중복 실장 방지. GPIO34 내부 풀업에 의존하지 않는다. 파형 상승시간과 LOW 싱크전류 검증.,S3 | S5
CH1,충전 전용 커넥터,배터리/BMS 전용 충전 포트,charge,power,hold,기능 포트. 실물 모델·핀순서 확인,"BMS 지정 포트 및 화학계에 맞는 충전기만. 이 구성은 S0 OFF 및 별도 충전 절차가 필요한 정비 모드. 주행·충전 동시 금지, 충전 중 배터리의 차체 구동 플러그를 물리적으로 분리. 충전 커넥터는 S0 OFF에서도 전압이 존재할 수 있다.",R3
FCH,충전 분기 퓨즈,배터리 충전 포트 인접,fuse,power,hold,기능 포트. 실물 모델·핀순서 확인,충전 전류·포트 역극성 보호·배터리 측 단락전류에 따른 DC 정격. 실모델 승인 전 결선 금지.,R3
F11,조향 입력 퓨즈,K2 하류 / DC3 입력 보호,fuse,steering,hold,기능 포트. 실물 모델·핀순서 확인,K1/K2를 우회하지 않는다. DC 정격전압·차단용량·DC3 기동전류·선로 허용전류에 맞춰 선정. A값은 미정.,R4
DC3,서보 전용 DC-DC,배터리 버스 → 12V / 20A 목표,converter,steering,hold,기능 포트. 실물 모델·핀순서 확인,"제어 5V 및 안전 24V 전원과 별도. 12V/20A는 설계 목표로 확정 제품 정격 아님. 배터리 최고전압·과도전압 내압, 두 서보 동시 스톨/기동, 열저감과 실제 커넥터 전류를 시험해야 한다. 입력 차단 뒤 출력이 떨어지는 시간도 측정.12V/20A는 목표치일 뿐, RDS 실물 스톨/과도전류 미확정. 2개×8A=16A는 타계열 참고 예산입니다.",R4
OV12,서보 전원 보호,OVP / 역전류 차단 / 전류 제한,protector,steering,hold,기능 포트. 실물 모델·핀순서 확인,실모델 미선정인 보호 조립체. 컨버터 고장 시 입력 버스전압을 견디는 독립 OVP와 재시도/래치 동작을 정해야 한다. 최대 트립전압+오버슈트가 실제 서보 상한보다 낮아야 한다. 퓨즈만으로 서보 과전압·열손상을 막을 수 없다.10~12.6V 서보와 보호동작 오차를 검토. 무부하뿐 아니라 기동/급반전/차단시센서단 최대전압 확인. 한계12.6V에 맞춰 트립값을 무여유로 설정하지 않습니다.,R4
X12,서보 전원·귀환 단자대,12V / 0V 별도 절연 버스,terminal,steering,hold,기능 포트. 실물 모델·핀순서 확인,12V 군과 0V 군은 서로 절연된 두 단자군. 서보 L/R의 고전류 귀환은 별도 굵은 선으로 이곳에 모은 뒤 DC3 OUT-로 복귀. ESP32/신호선/USB로 서보 전류를 반환하지 않는다.,R4
CL12,서보 레일 에너지 흡수,12V 로컬 클램프·방전 조립체,clamp,steering,hold,기능 포트. 실물 모델·핀순서 확인,서보의 역구동·급감속 및 입력 차단 때 발생하는 레일 상승을 평가한 후 임계값/에너지/열/방전을 선정. DC3와 OV12는 회생 에너지를 자동 흡수한다고 가정하지 않는다. 단순 TVS만으로 지속 에너지 흡수를 승인하지 않는다.,R4
F5,L 서보 분기 퓨즈,전력 하네스 개별 보호,fuse,steering,hold,기능 포트. 실물 모델·핀순서 확인,실제 스톨전류·전자식 전류제한·선로/단자 허용전류·시간전류 곡선에 따라 확정. 기존 B1의 10A 숫자를 통전 승인값으로 가져오지 않는다.,R4
SVL,RDS51150 L 전륜 서보,10~12.6V · 12V 설계 · 165g 제공값,servo,steering,hold,기능 포트. 실물 모델·핀순서 확인,새 제공 사양의10~12.6V/165g/3µs를 기존 계열 참고값과 구분해 반영했습니다. 12V에서165kgf·cm는 스톨 표기이지 연속 토크/적재중량이 아닙니다. 8A는 DS51150 계열 참고이며 RDS 구매품 미확정. 본체52×30×65와 사진65.39/48.10/62.17mm의 기준축·돌출 포함 여부가 달라 모두 보존합니다. 3D 본체는65.39×30×48.10mm 사진기반 외피를 채택한 배치 선택이며 실측 승인 치수가 아닙니다.,"첨부 부품상세사양 §8, p.15-16 + 추가 서보 사진/본문 | 추가 서보 사진4종 | 사용자 본문 사양"
JSL,L 서보 3선 접속점,JR 3pin 2.54mm 사진 / 실물 대조,connector,steering,hold,기능 포트. 실물 모델·핀순서 확인,추가 사진은 검정(-)/빨강(+)/흰색(S)과 JR 3pin 2.54mm를 표시하지만 다른 사진에는 JST-ZHR라는 문구가 혼재합니다. 커넥터 종류/정격/실제 선색과 극성을 확인합니다. 순정 커넥터가8A 스톨 전류를 견딘다고 가정하지 않습니다. 307/320mm 리드에 연결하는 연장 하네스이며 출고 리드 전체 길이와 같지 않습니다.,R4
F6,R 서보 분기 퓨즈,전력 하네스 개별 보호,fuse,steering,hold,기능 포트. 실물 모델·핀순서 확인,실제 스톨전류·전자식 전류제한·선로/단자 허용전류·시간전류 곡선에 따라 확정. 기존 B1의 10A 숫자를 통전 승인값으로 가져오지 않는다.,R4
SVR,RDS51150 R 전륜 서보,10~12.6V · 12V 설계 · 165g 제공값,servo,steering,hold,기능 포트. 실물 모델·핀순서 확인,새 제공 사양의10~12.6V/165g/3µs를 기존 계열 참고값과 구분해 반영했습니다. 12V에서165kgf·cm는 스톨 표기이지 연속 토크/적재중량이 아닙니다. 8A는 DS51150 계열 참고이며 RDS 구매품 미확정. 본체52×30×65와 사진65.39/48.10/62.17mm의 기준축·돌출 포함 여부가 달라 모두 보존합니다. 3D 본체는65.39×30×48.10mm 사진기반 외피를 채택한 배치 선택이며 실측 승인 치수가 아닙니다.,"첨부 부품상세사양 §8, p.15-16 + 추가 서보 사진/본문 | 추가 서보 사진4종 | 사용자 본문 사양"
JSR,R 서보 3선 접속점,JR 3pin 2.54mm 사진 / 실물 대조,connector,steering,hold,기능 포트. 실물 모델·핀순서 확인,추가 사진은 검정(-)/빨강(+)/흰색(S)과 JR 3pin 2.54mm를 표시하지만 다른 사진에는 JST-ZHR라는 문구가 혼재합니다. 커넥터 종류/정격/실제 선색과 극성을 확인합니다. 순정 커넥터가8A 스톨 전류를 견딘다고 가정하지 않습니다. 307/320mm 리드에 연결하는 연장 하네스이며 출고 리드 전체 길이와 같지 않습니다.,R4
F10,PWM 전원 분기 퓨즈,12V → DC4,fuse,steering,hold,기능 포트. 실물 모델·핀순서 확인,12V 서보 버스의 저전류 전원 분기. 신호 회로 단락이 서보 메인 하네스를 가열하지 않게 입력 보호. 정격은 실모델 기준.,R4
DC4,서보측 신호 전원,12V → 5V / 독립 OVP 확인,converter,steering,hold,기능 포트. 실물 모델·핀순서 확인,ISO7720F 출력측 전용 5V. SBC 5V 및 ESP32 3V3와 병렬 금지. 5.5V는 ISO 공급 권장범위 상한이며 설계 목표전압이 아니다. 제품 내부 OVP·기동/차단 파형 확인.,S11 | S12
U2,서보 PWM 인터페이스,ISO7720F / 2채널 단방향,isolator,steering,hold,TI ISO7720F SOIC-8 D/DWV 실칩. 모듈 헤더는 별도 대조,SOIC-8 D/DWV의 실칩 핀 번호 기준; 16핀 DW 또는 모듈 헤더 번호와 혼동 금지. VCC1=ESP 3.3V / VCC2=DC4 5V. 반드시 F(default LOW) 변형 확인. 입력측 전원 소실은 LOW로 떨어지지만 MCU가 멈춘 채 PWM을 계속 내는 고장까지 검출하지 않는다. 시스템 공통 0V이므로 전체 갈바닉 절연/안전정지 인증을 주장하지 않는다.,S11 | S12
